"ID","Count","Min_PM25","Max_PM25","Mean_PM25","SE_PM25","LOWER_95CI_PM25","UPPER_95CI_PM25"
"1004",363,0.605,32.595,6.36,0.269484318943334,5.832,6.888
"1070",325,0.248,30.943,4.624,0.293733978973362,4.048,5.2
"1088",356,1.487,35.346,8.828,0.316473391612571,8.207,9.448
"1134",365,1.603,40.858,12.847,0.362747888724467,12.136,13.558
"1523",365,0.494,37.467,7.942,0.349343729321611,7.257,8.626
"1577",348,1.612,244.986,9.61,0.774342524117547,8.093,11.128
"1637",137,1.459,28.542,7.36,0.447061627230399,6.484,8.237
"1682",364,0.867,44.103,9.922,0.405193627475236,9.128,10.716
"1697",365,0.893,41.426,9.217,0.350339758044642,8.531,9.904
"1735",365,0.403,14.229,1.085,0.0424714651957856,1.002,1.169
"239",365,1.947,38.418,10.372,0.336318925999979,9.712,11.031
"2448",260,2.151,42.528,9.28,0.405314516368719,8.486,10.075
"2470",365,2.522,40.299,10.883,0.34555950486416,10.205,11.56
"2548",362,0.082,31.482,5.227,0.275118314175134,4.687,5.766
"2558",364,2.115,29.058,8.561,0.237513328256135,8.096,9.027
"2568",356,2.683,47.466,11.413,0.42617699646802,10.578,12.249
"3022",318,1.085,48.024,10.546,0.428796556896287,9.706,11.387
"317",351,0.798,41.998,8.178,0.310134798340479,7.57,8.786
"3185",365,1.09,39.012,9.208,0.362531887360831,8.498,9.919
"3274",365,1.008,33.389,8.122,0.272267612951893,7.589,8.656
"3297",365,1.105,46.556,11.138,0.447001866084543,10.262,12.014
"3503",365,0.741,36.048,7.908,0.315660490181218,7.289,8.526
"353",364,1.804,40.771,9.997,0.352925620460309,9.306,10.689
"3587",328,0.699,72.211,9.606,0.448555129642842,8.727,10.485
"3629",358,0.99,39.059,8.901,0.322965821290573,8.268,9.534
"3673",17,1.778,23.174,8.951,1.59540938959476,5.824,12.078
"3825",111,0.782,27.22,6.818,0.541098252030912,5.757,7.878
"3881",359,0.769,36.731,8.804,0.387155444547131,8.045,9.563
"3997",344,0.933,44.956,10.665,0.455589266928745,9.772,11.558
"4074",365,1.066,39.595,9.261,0.364882947314583,8.546,9.977
"4288",320,2.637,999.9,38.034,7.05794048739593,24.2,51.867
"4307",365,0.614,22.168,5.584,0.205238624499886,5.181,5.986
"4309",364,0.817,350.158,9.076,1.20024770087023,6.724,11.429
"4317",364,1.127,50.763,11.587,0.439729940756455,10.725,12.449
"4377",360,0.908,38.697,8.17,0.351722437678092,7.48,8.859
"543",196,0.818,28.223,5.336,0.290321358632785,4.767,5.905
"591",346,0.616,33.852,7.954,0.325700085778651,7.316,8.593
"836",365,1.149,38.769,9.278,0.336862781463827,8.617,9.938
"938",338,0.389,15.903,3.632,0.137304397991537,3.363,3.902
"980",362,1.803,34.194,10.307,0.296304638578673,9.726,10.887
"STA.DE_DEHH008",281,1.5,40.307,10.639,0.41599628898644,9.823,11.454
"STA.DE_DEHH015",270,2.144,35.325,10.114,0.384267493059795,9.361,10.867
"STA.DE_DEHH059",289,2.239,40.32,11.702,0.390511714743651,10.937,12.468
"STA.DE_DEHH068",324,1.5,38.333,10.556,0.375321748597911,9.821,11.292
