scenario,model,n,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAE_ci,RMSE_ci
"m=2,a=0.1",classic,91,0.580511028271374,0.0597046260196842,0.734701134891954,0.0758129382928661,0.0122671410111632,0.0155768165133902
"m=2,a=0.1",robust_d_auto,91,0.76503349970072,0.21810230157673,0.95603005837265,0.265079789271595,0.0448121337770192,0.0544643082285114
"m=2,a=0.1",robust_d_big,91,0.673432306365197,0.155812530313228,0.851009783958284,0.188696601307066,0.0320138389281318,0.0387703260346671
"m=2,a=0.1",robust_d_medium,91,0.676597528955244,0.151112585123902,0.857991969451411,0.187714808493321,0.0310481701981543,0.0385686031248546
"m=2,a=0.1",robust_d_small,91,0.677249787311935,0.147636477231215,0.861255001406244,0.186138353932388,0.0303339557639906,0.0382446987361012
"m=20,a=0.7",classic,93,2.14956812277443,0.931974106061666,2.34451114701167,0.943857064171313,0.189416777230201,0.191831899726043
"m=20,a=0.7",robust_d_auto,93,1.09070485524011,1.02853331156583,1.28269215352148,1.03978949149839,0.209041714660918,0.211329449172939
"m=20,a=0.7",robust_d_big,93,1.1792899126789,0.98970513663323,1.37364251387932,1.0091461339986,0.201150178068186,0.205101415600579
"m=20,a=0.7",robust_d_medium,93,1.19064220693284,1.12598322513703,1.38260605041599,1.1347824172985,0.2288476818546,0.230636051950522
"m=20,a=0.7",robust_d_small,93,1.0710309889468,0.805741180945774,1.26551772141519,0.814130488398827,0.16376087788678,0.165465941976667
"m=4,a=0.3",classic,87,0.898582427660198,0.20345643929886,1.23333906234084,0.348856006362761,0.0427531269776914,0.073306527865894
"m=4,a=0.3",robust_d_auto,87,0.988747571285059,0.215332865555082,1.30594621625531,0.345844042270004,0.0452487686075324,0.0726736116320621
"m=4,a=0.3",robust_d_big,87,0.992650438059708,0.259505012585438,1.33570560295276,0.414875703124142,0.0545308410618331,0.087179514576931
"m=4,a=0.3",robust_d_medium,87,0.969809221830625,0.252098402821068,1.30797025246155,0.411876345130693,0.0529744601047026,0.0865492473138876
"m=4,a=0.3",robust_d_small,87,0.958924498856061,0.230338583212547,1.29258127726148,0.376741659674767,0.0484019809345141,0.0791662533236507
